도시별,지역별,구,동,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,서울,중구,중구,62,56,33,23,22,18
도시대기,서울,종로구,종로구,67,61,37,26,25,20
도시대기,서울,중랑구,중랑구,64,59,37,28,28,22
도시대기,서울,동대문구,동대문구,67,64,41,30,30,23
도시대기,서울,은평구,은평구,67,65,38,28,28*,20
도시대기,서울,마포구,마포구,59,56,37,27,26,22
도시대기,서울,영등포구,영등포구,63,58,37,27,26,22
도시대기,서울,동작구,동작구,66,59,37,27,26,22
도시대기,서울,관악구,관악구,71,66,43,32,30,26
도시대기,서울,강남구,강남구,65,60,38,29,27,23
도시대기,서울,금천구,금천구,59,55,36,30,29,22
도시대기,서울,강동구,강동구,69,61,38,28,25,21
도시대기,서울,강북구,강북구,69,64,39,29,31,23
도시대기,서울,성북구,성북구,72,68,41,30,22,18
도시대기,서울,용산구,용산구,71,68,42,30,28,24
도시대기,서울,광진구,광진구,65,60,38,28,27,22
도시대기,서울,성동구,성동구,67,60,38,28,26,21
도시대기,서울,도봉구,도봉구,67,63,36,26,22,16
도시대기,서울,서대문구,서대문구,68,61,35,26,22,17
도시대기,서울,구로구,구로구,79,73,39,26,21,17
도시대기,서울,서초구,서초구,73,67,42,30,27,21
도시대기,서울,강서구,강서구,79,73,44,30,27,23
도시대기,서울,송파구,송파구,73,69,42,31,29,24
도시대기,서울,양천구,양천구,71,63,38,29,28,22
도시대기,서울,노원구,노원구,69,64,37,27,27,21
